"group","SID","item","survey_name","value"
"experimental","s089","msg_sharing_narrow_3","msg_sharing_narrow","61"
"experimental","s092","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s094","msg_sharing_narrow_3","msg_sharing_narrow","59"
"experimental","s096","msg_sharing_narrow_3","msg_sharing_narrow","27"
"experimental","s098","msg_sharing_narrow_3","msg_sharing_narrow","68"
"experimental","s101","msg_sharing_narrow_3","msg_sharing_narrow","88"
"experimental","s103","msg_sharing_narrow_3","msg_sharing_narrow","8"
"experimental","s104","msg_sharing_narrow_3","msg_sharing_narrow","87"
"experimental","s108","msg_sharing_narrow_3","msg_sharing_narrow","69"
"experimental","s109","msg_sharing_narrow_3","msg_sharing_narrow","74"
"experimental","s110","msg_sharing_narrow_3","msg_sharing_narrow","6"
"experimental","s112","msg_sharing_narrow_3","msg_sharing_narrow","0"
"experimental","s114","msg_sharing_narrow_3","msg_sharing_narrow","81"
"experimental","s116","msg_sharing_narrow_3","msg_sharing_narrow","50"
"experimental","s119","msg_sharing_narrow_3","msg_sharing_narrow","19"
"experimental","s120","msg_sharing_narrow_3","msg_sharing_narrow","92"
"experimental","s122","msg_sharing_narrow_3","msg_sharing_narrow","62"
"experimental","s125","msg_sharing_narrow_3","msg_sharing_narrow","59"
"experimental","s126","msg_sharing_narrow_3","msg_sharing_narrow","76"
"experimental","s128","msg_sharing_narrow_3","msg_sharing_narrow","91"
"experimental","s131","msg_sharing_narrow_3","msg_sharing_narrow","30"
"experimental","s132","msg_sharing_narrow_3","msg_sharing_narrow","83"
"experimental","s135","msg_sharing_narrow_3","msg_sharing_narrow","61"
"experimental","s136","msg_sharing_narrow_3","msg_sharing_narrow","33"
"experimental","s139","msg_sharing_narrow_3","msg_sharing_narrow","14"
"experimental","s142","msg_sharing_narrow_3","msg_sharing_narrow","53"
"experimental","s144","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s145","msg_sharing_narrow_3","msg_sharing_narrow","52"
"experimental","s147","msg_sharing_narrow_3","msg_sharing_narrow","27"
"experimental","s149","msg_sharing_narrow_3","msg_sharing_narrow","95"
"experimental","s151","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s153","msg_sharing_narrow_3","msg_sharing_narrow","13"
"experimental","s155","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s156","msg_sharing_narrow_3","msg_sharing_narrow","89"
"experimental","s158","msg_sharing_narrow_3","msg_sharing_narrow","43"
"experimental","s160","msg_sharing_narrow_3","msg_sharing_narrow","74"
"experimental","s163","msg_sharing_narrow_3","msg_sharing_narrow","20"
"experimental","s164","msg_sharing_narrow_3","msg_sharing_narrow","26"
"experimental","s167","msg_sharing_narrow_3","msg_sharing_narrow","7"
"experimental","s169","msg_sharing_narrow_3","msg_sharing_narrow","48"
"experimental","s170","msg_sharing_narrow_3","msg_sharing_narrow","0"
"experimental","s173","msg_sharing_narrow_3","msg_sharing_narrow","74"
"experimental","s174","msg_sharing_narrow_3","msg_sharing_narrow","33"
"experimental","s177","msg_sharing_narrow_3","msg_sharing_narrow","51"
"experimental","s179","msg_sharing_narrow_3","msg_sharing_narrow","52"
"experimental","s181","msg_sharing_narrow_3","msg_sharing_narrow","33"
"experimental","s183","msg_sharing_narrow_3","msg_sharing_narrow","60"
"experimental","s184","msg_sharing_narrow_3","msg_sharing_narrow","23"
"experimental","s186","msg_sharing_narrow_3","msg_sharing_narrow","94"
"experimental","s187","msg_sharing_narrow_3","msg_sharing_narrow","82"
"experimental","s189","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s192","msg_sharing_narrow_3","msg_sharing_narrow","60"
"experimental","s193","msg_sharing_narrow_3","msg_sharing_narrow","90"
"experimental","s196","msg_sharing_narrow_3","msg_sharing_narrow","92"
"experimental","s199","msg_sharing_narrow_3","msg_sharing_narrow","27"
"experimental","s201","msg_sharing_narrow_3","msg_sharing_narrow","77"
"experimental","s202","msg_sharing_narrow_3","msg_sharing_narrow","4"
"experimental","s205","msg_sharing_narrow_3","msg_sharing_narrow","63"
"experimental","s207","msg_sharing_narrow_3","msg_sharing_narrow","92"
"experimental","s209","msg_sharing_narrow_3","msg_sharing_narrow","62"
"experimental","s211","msg_sharing_narrow_3","msg_sharing_narrow","77"
"experimental","s212","msg_sharing_narrow_3","msg_sharing_narrow","52"
"experimental","s214","msg_sharing_narrow_3","msg_sharing_narrow","34"
"experimental","s216","msg_sharing_narrow_3","msg_sharing_narrow","15"
"experimental","s219","msg_sharing_narrow_3","msg_sharing_narrow","16"
"experimental","s221","msg_sharing_narrow_3","msg_sharing_narrow","78"
"experimental","s223","msg_sharing_narrow_3","msg_sharing_narrow","47"
"experimental","s225","msg_sharing_narrow_3","msg_sharing_narrow","3"
"experimental","s227","msg_sharing_narrow_3","msg_sharing_narrow","49"
"experimental","s230","msg_sharing_narrow_3","msg_sharing_narrow","55"
"experimental","s232","msg_sharing_narrow_3","msg_sharing_narrow","88"
"experimental","s233","msg_sharing_narrow_3","msg_sharing_narrow","80"
"experimental","s234","msg_sharing_narrow_3","msg_sharing_narrow","5"
"experimental","s237","msg_sharing_narrow_3","msg_sharing_narrow","92"
"experimental","s238","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s240","msg_sharing_narrow_3","msg_sharing_narrow","67"
"experimental","s243","msg_sharing_narrow_3","msg_sharing_narrow","2"
"experimental","s245","msg_sharing_narrow_3","msg_sharing_narrow","46"
"experimental","s247","msg_sharing_narrow_3","msg_sharing_narrow","46"
"experimental","s248","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s001","msg_rel_self_4","msg_rel_self","60"
"experimental","s003","msg_rel_self_4","msg_rel_self","85"
"experimental","s004","msg_rel_self_4","msg_rel_self","74"
"experimental","s006","msg_rel_self_4","msg_rel_self","5"
"experimental","s009","msg_rel_self_4","msg_rel_self","60"
"experimental","s011","msg_rel_self_4","msg_rel_self","60"
"experimental","s013","msg_rel_self_4","msg_rel_self","8"
"experimental","s015","msg_rel_self_4","msg_rel_self","21"
"experimental","s016","msg_rel_self_4","msg_rel_self","92"
"experimental","s018","msg_rel_self_4","msg_rel_self","19"
"experimental","s020","msg_rel_self_4","msg_rel_self","100"
"experimental","s022","msg_rel_self_4","msg_rel_self","62"
"experimental","s025","msg_rel_self_4","msg_rel_self","65"
"experimental","s027","msg_rel_self_4","msg_rel_self","68"
"experimental","s028","msg_rel_self_4","msg_rel_self","100"
"experimental","s030","msg_rel_self_4","msg_rel_self","50"
"experimental","s033","msg_rel_self_4","msg_rel_self","100"
"experimental","s035","msg_rel_self_4","msg_rel_self","30"
"experimental","s037","msg_rel_self_4","msg_rel_self","59"
"experimental","s039","msg_rel_self_4","msg_rel_self","62"
"experimental","s041","msg_rel_self_4","msg_rel_self","83"
"experimental","s042","msg_rel_self_4","msg_rel_self","80"
"experimental","s044","msg_rel_self_4","msg_rel_self","60"
"experimental","s046","msg_rel_self_4","msg_rel_self","100"
"experimental","s049","msg_rel_self_4","msg_rel_self","64"
"experimental","s051","msg_rel_self_4","msg_rel_self","50"
"experimental","s053","msg_rel_self_4","msg_rel_self","93"
"experimental","s055","msg_rel_self_4","msg_rel_self","81"
"experimental","s057","msg_rel_self_4","msg_rel_self","78"
"experimental","s058","msg_rel_self_4","msg_rel_self","55"
"experimental","s061","msg_rel_self_4","msg_rel_self","87"
"experimental","s062","msg_rel_self_4","msg_rel_self","100"
"experimental","s064","msg_rel_self_4","msg_rel_self","70"
"experimental","s066","msg_rel_self_4","msg_rel_self","13"
"experimental","s068","msg_rel_self_4","msg_rel_self","20"
"experimental","s072","msg_rel_self_4","msg_rel_self","87"
"experimental","s073","msg_rel_self_4","msg_rel_self","74"
"experimental","s074","msg_rel_self_4","msg_rel_self","60"
"experimental","s076","msg_rel_self_4","msg_rel_self","65"
"experimental","s078","msg_rel_self_4","msg_rel_self","49"
"experimental","s081","msg_rel_self_4","msg_rel_self","72"
"experimental","s082","msg_rel_self_4","msg_rel_self","82"
"experimental","s085","msg_rel_self_4","msg_rel_self","80"
"experimental","s086","msg_rel_self_4","msg_rel_self","71"
"experimental","s088","msg_rel_self_4","msg_rel_self","41"
"experimental","s089","msg_rel_self_4","msg_rel_self","60"
"experimental","s092","msg_rel_self_4","msg_rel_self","100"
"experimental","s094","msg_rel_self_4","msg_rel_self","60"
"experimental","s096","msg_rel_self_4","msg_rel_self","97"
"experimental","s098","msg_rel_self_4","msg_rel_self","52"
"experimental","s101","msg_rel_self_4","msg_rel_self","92"
"experimental","s103","msg_rel_self_4","msg_rel_self","98"
"experimental","s104","msg_rel_self_4","msg_rel_self","99"
"experimental","s108","msg_rel_self_4","msg_rel_self","81"
"experimental","s109","msg_rel_self_4","msg_rel_self","63"
"experimental","s110","msg_rel_self_4","msg_rel_self","55"
"experimental","s112","msg_rel_self_4","msg_rel_self","24"
"experimental","s114","msg_rel_self_4","msg_rel_self","65"
"experimental","s116","msg_rel_self_4","msg_rel_self","30"
"experimental","s119","msg_rel_self_4","msg_rel_self","10"
"experimental","s120","msg_rel_self_4","msg_rel_self","80"
"experimental","s122","msg_rel_self_4","msg_rel_self","82"
"experimental","s125","msg_rel_self_4","msg_rel_self","10"
"experimental","s126","msg_rel_self_4","msg_rel_self","30"
"experimental","s128","msg_rel_self_4","msg_rel_self","98"
"experimental","s131","msg_rel_self_4","msg_rel_self","58"
"experimental","s132","msg_rel_self_4","msg_rel_self","100"
"experimental","s135","msg_rel_self_4","msg_rel_self","61"
"experimental","s136","msg_rel_self_4","msg_rel_self","41"
"experimental","s139","msg_rel_self_4","msg_rel_self","23"
"experimental","s142","msg_rel_self_4","msg_rel_self","60"
"experimental","s144","msg_rel_self_4","msg_rel_self","69"
"experimental","s145","msg_rel_self_4","msg_rel_self","50"
"experimental","s147","msg_rel_self_4","msg_rel_self","10"
"experimental","s149","msg_rel_self_4","msg_rel_self","27"
"experimental","s151","msg_rel_self_4","msg_rel_self","100"
"experimental","s153","msg_rel_self_4","msg_rel_self","43"
"experimental","s155","msg_rel_self_4","msg_rel_self","100"
"experimental","s156","msg_rel_self_4","msg_rel_self","23"
"experimental","s158","msg_rel_self_4","msg_rel_self","60"
"experimental","s160","msg_rel_self_4","msg_rel_self","78"
"experimental","s163","msg_rel_self_4","msg_rel_self","9"
"experimental","s164","msg_rel_self_4","msg_rel_self","50"
"experimental","s167","msg_rel_self_4","msg_rel_self","71"
"experimental","s169","msg_rel_self_4","msg_rel_self","86"
"experimental","s170","msg_rel_self_4","msg_rel_self","0"
"experimental","s173","msg_rel_self_4","msg_rel_self","75"
"experimental","s174","msg_rel_self_4","msg_rel_self","59"
"experimental","s177","msg_rel_self_4","msg_rel_self","100"
"experimental","s179","msg_rel_self_4","msg_rel_self","49"
"experimental","s181","msg_rel_self_4","msg_rel_self","36"
"experimental","s183","msg_rel_self_4","msg_rel_self","63"
"experimental","s184","msg_rel_self_4","msg_rel_self","100"
"experimental","s186","msg_rel_self_4","msg_rel_self","75"
"experimental","s187","msg_rel_self_4","msg_rel_self","92"
"experimental","s189","msg_rel_self_4","msg_rel_self","100"
"experimental","s192","msg_rel_self_4","msg_rel_self","81"
"experimental","s193","msg_rel_self_4","msg_rel_self","89"
"experimental","s196","msg_rel_self_4","msg_rel_self","29"
"experimental","s199","msg_rel_self_4","msg_rel_self","63"
"experimental","s201","msg_rel_self_4","msg_rel_self","40"
"experimental","s202","msg_rel_self_4","msg_rel_self","40"
"experimental","s205","msg_rel_self_4","msg_rel_self","100"
"experimental","s207","msg_rel_self_4","msg_rel_self","79"
"experimental","s209","msg_rel_self_4","msg_rel_self","75"
"experimental","s211","msg_rel_self_4","msg_rel_self","93"
"experimental","s212","msg_rel_self_4","msg_rel_self","48"
"experimental","s214","msg_rel_self_4","msg_rel_self","85"
"experimental","s216","msg_rel_self_4","msg_rel_self","59"
"experimental","s219","msg_rel_self_4","msg_rel_self","97"
"experimental","s221","msg_rel_self_4","msg_rel_self","83"
"experimental","s223","msg_rel_self_4","msg_rel_self","52"
"experimental","s225","msg_rel_self_4","msg_rel_self","9"
"experimental","s227","msg_rel_self_4","msg_rel_self","67"
"experimental","s230","msg_rel_self_4","msg_rel_self","60"
"experimental","s232","msg_rel_self_4","msg_rel_self","92"
"experimental","s233","msg_rel_self_4","msg_rel_self","100"
"experimental","s234","msg_rel_self_4","msg_rel_self","80"
"experimental","s237","msg_rel_self_4","msg_rel_self","68"
"experimental","s238","msg_rel_self_4","msg_rel_self","77"
"experimental","s240","msg_rel_self_4","msg_rel_self","26"
"experimental","s243","msg_rel_self_4","msg_rel_self","46"
"experimental","s245","msg_rel_self_4","msg_rel_self","50"
"experimental","s247","msg_rel_self_4","msg_rel_self","60"
"experimental","s248","msg_rel_self_4","msg_rel_self","41"
"experimental","s001","msg_rel_social_4","msg_rel_social","59"
"experimental","s003","msg_rel_social_4","msg_rel_social","96"
"experimental","s004","msg_rel_social_4","msg_rel_social","77"
"experimental","s006","msg_rel_social_4","msg_rel_social","38"
"experimental","s009","msg_rel_social_4","msg_rel_social","53"
"experimental","s011","msg_rel_social_4","msg_rel_social","64"
"experimental","s013","msg_rel_social_4","msg_rel_social","63"
"experimental","s015","msg_rel_social_4","msg_rel_social","19"
"experimental","s016","msg_rel_social_4","msg_rel_social","94"
"experimental","s018","msg_rel_social_4","msg_rel_social","19"
"experimental","s020","msg_rel_social_4","msg_rel_social","100"
"experimental","s022","msg_rel_social_4","msg_rel_social","73"
"experimental","s025","msg_rel_social_4","msg_rel_social","51"
"experimental","s027","msg_rel_social_4","msg_rel_social","65"
"experimental","s028","msg_rel_social_4","msg_rel_social","100"
"experimental","s030","msg_rel_social_4","msg_rel_social","67"
"experimental","s033","msg_rel_social_4","msg_rel_social","100"
"experimental","s035","msg_rel_social_4","msg_rel_social","29"
"experimental","s037","msg_rel_social_4","msg_rel_social","50"
"experimental","s039","msg_rel_social_4","msg_rel_social","100"
"experimental","s041","msg_rel_social_4","msg_rel_social","83"
"experimental","s042","msg_rel_social_4","msg_rel_social","79"
"experimental","s044","msg_rel_social_4","msg_rel_social","90"
"experimental","s046","msg_rel_social_4","msg_rel_social","100"
"experimental","s049","msg_rel_social_4","msg_rel_social","70"
"experimental","s051","msg_rel_social_4","msg_rel_social","51"
"experimental","s053","msg_rel_social_4","msg_rel_social","91"
"experimental","s055","msg_rel_social_4","msg_rel_social","81"
"experimental","s057","msg_rel_social_4","msg_rel_social","69"
"experimental","s058","msg_rel_social_4","msg_rel_social","65"
