"cond","SID","survey_name","item","value"
"self","s076","sharing_narrow","1_sharing_narrow","0"
"other","s078","sharing_narrow","1_sharing_narrow","75"
"other","s079","sharing_narrow","1_sharing_narrow","72"
"self","s080","sharing_narrow","1_sharing_narrow","12"
"other","s081","sharing_narrow","1_sharing_narrow","1"
"self","s082","sharing_narrow","1_sharing_narrow","0"
"other","s083","sharing_narrow","1_sharing_narrow","49"
"self","s084","sharing_narrow","1_sharing_narrow","0"
"other","s085","sharing_narrow","1_sharing_narrow","3"
"self","s086","sharing_narrow","1_sharing_narrow","0"
"self","s089","sharing_narrow","1_sharing_narrow","21"
"other","s090","sharing_narrow","1_sharing_narrow","71"
"other","s092","sharing_narrow","1_sharing_narrow","51"
"self","s093","sharing_narrow","1_sharing_narrow","42"
"self","s095","sharing_narrow","1_sharing_narrow","8"
"other","s097","sharing_narrow","1_sharing_narrow","92"
"other","s099","sharing_narrow","1_sharing_narrow","0"
"other","s100","sharing_narrow","1_sharing_narrow","99"
"self","s101","sharing_narrow","1_sharing_narrow","12"
"other","s103","sharing_narrow","1_sharing_narrow","9"
"self","s104","sharing_narrow","1_sharing_narrow","50"
"self","s106","sharing_narrow","1_sharing_narrow","0"
"other","s108","sharing_narrow","1_sharing_narrow","6"
"other","s110","sharing_narrow","1_sharing_narrow","52"
"self","s111","sharing_narrow","1_sharing_narrow","0"
"self","s112","sharing_narrow","1_sharing_narrow","58"
"self","s113","sharing_narrow","1_sharing_narrow","1"
"other","s114","sharing_narrow","1_sharing_narrow","19"
"other","s115","sharing_narrow","1_sharing_narrow","3"
"other","s116","sharing_narrow","1_sharing_narrow","68"
"other","s117","sharing_narrow","1_sharing_narrow","83"
"self","s118","sharing_narrow","1_sharing_narrow","24"
"self","s119","sharing_narrow","1_sharing_narrow","0"
"other","s120","sharing_narrow","1_sharing_narrow","1"
"self","s121","sharing_narrow","1_sharing_narrow","70"
"other","s122","sharing_narrow","1_sharing_narrow","91"
"other","s123","sharing_narrow","1_sharing_narrow","73"
"self","s124","sharing_narrow","1_sharing_narrow","70"
"other","s125","sharing_narrow","1_sharing_narrow","0"
